CountyName,Voters
ALCONA,9928
ALGER,7637
ALLEGAN,94464
ALPENA,24979
ANTRIM,22114
ARENAC,12787
BARAGA,6709
BARRY,50096
BAY,85152
BENZIE,16573
BERRIEN,135632
BRANCH,33936
CALHOUN,106850
CALHOUN,44765
CHARLEVOIX,23847
CHEBOYGAN,22699
CHIPPEWA,26358
CLARE,25408
CLINTON,62592
CRAWFORD,12074
DELTA,31523
DICKINSON,23491
EATON,88352
EMMET,30741
GENESEE,350535
GLADWIN,22009
GOGEBIC,14395
GD. TRAVERSE,81336
GRATIOT,28454
HILLSDALE,36733
HOUGHTON,26821
HURON,26299
INGHAM,214983
IONIA,47150
IOSCO,22697
IRON,10555
ISABELLA,46534
JACKSON,122941
KALAMAZOO,211519
KALKASKA,16126
KENT,502673
KEWEENAW,2064
LAKE,10046
LAPEER,72364
LEELANAU,21420
LENAWEE,79469
LIVINGSTON,162073
LUCE,4579
MACKINAC,10172
MACOMB,696245
MANISTEE,21080
MARQUETTE,55065
MASON,24849
MECOSTA,31476
MENOMINEE,20430
MIDLAND,69853
MISSAUKEE,12152
MONROE,131254
MONTCALM,48204
MONTMORENCY,8620
MUSKEGON,141586
NEWAYGO,40028
OAKLAND,1038102
OCEANA,21321
OGEMAW,17915
ONTONAGON,5774
OSCEOLA,18509
OSCODA,7329
OTSEGO,23099
OTTAWA,221554
PRESQUE ISLE,11621
ROSCOMMON,23063
SAGINAW,157194
SANILAC,31838
SCHOOLCRAFT,7269
SHIAWASSEE,56154
ST. CLAIR,134980
ST. JOSEPH,47618
TUSCOLA,43119
VAN BUREN,61081
WASHTENAW,319345
WAYNE,1410436
WEXFORD,27613
